pos,corr_resp,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
50,c,0,0,0,0,13,2,54,2,,,,,134.65566366600024,135.64298120800004,135.64298120800004,135.64298120800004,135.64298120800004,135.6517868750002,136.639579958,136.639579958,c,1,0.12689562500008833,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-150,z,0,0,0,0,13,3,55,3,,,,,136.78076979100024,137.7760736250002,137.7760736250002,137.7760736250002,137.7760736250002,137.7760736250002,138.77310045800004,138.77310045800004,z,1,0.1847885829997722,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-50,x,0,0,0,0,14,0,56,0,,,,,138.97341825000012,139.9597187080003,139.9597187080003,139.9597187080003,139.9597187080003,139.96865849999995,140.9649979579999,140.9649979579999,x,1,0.5340719589999026,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,14,1,57,1,,,,,141.51498654099987,142.50895100000025,142.50895100000025,142.50895100000025,142.50895100000025,142.50895100000025,143.50639154100008,143.50639154100008,v,1,0.2893114170001354,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
50,c,0,0,0,0,14,2,58,2,,,,,143.80628241600016,144.7926433749999,144.7926433749999,144.7926433749999,144.7926433749999,144.8014497500003,145.7899015410003,145.7899015410003,c,1,0.2303230419997817,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-150,z,0,0,0,0,14,3,59,3,,,,,146.03187395800023,147.0251157910002,147.0251157910002,147.0251157910002,147.0251157910002,147.0251157910002,148.02316599999995,148.02316599999995,z,1,0.3093509579998681,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-50,x,0,0,0,0,15,0,60,0,,,,,148.34855137500017,149.34267579100015,149.34267579100015,149.34267579100015,149.34267579100015,149.34267579100015,150.34024841600012,150.34024841600012,x,1,0.24589675100014574,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,15,1,61,1,,,,,150.59867079100013,151.5926359160003,151.5926359160003,151.5926359160003,151.5926359160003,151.5926359160003,152.5820146660003,152.5820146660003,v,1,0.24225599999999758,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
50,c,0,0,0,0,15,2,62,2,,,,,152.8399858749999,153.8331696250002,153.8331696250002,153.8331696250002,153.8331696250002,153.8429325410002,154.832091666,154.832091666,c,1,0.19959945900018283,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-150,z,0,0,0,0,15,3,63,3,,,,,155.04001404100018,156.02708662500027,156.02708662500027,156.02708662500027,156.02708662500027,156.036040125,157.03220512500002,157.03220512500002,z,1,0.23840133400017294,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-50,x,0,0,0,0,16,0,64,0,,,,,157.28162475,158.2765235410002,158.2765235410002,158.2765235410002,158.2765235410002,158.2765235410002,159.27400183300006,159.27400183300006,x,1,0.18314479199989364,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,16,1,65,1,,,,,159.47151662500028,160.46117029100014,160.46117029100014,160.46117029100014,160.46117029100014,160.4708692500003,161.45699941600014,161.45699941600014,v,1,0.32585062599991943,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
